id_proceso,entidad,tipo_procedimiento,objeto,descripcion,estado,fecha_convocatoria,fecha_adjudicacion,dias_convocatoria_adjudicacion,n_postores,monto_referencial,monto_adjudicado,proveedor_adjudicado,fuente
PROC-2020-00010,PRONIED,Subasta Inversa Electrónica,Servicio,Servicio para PRONIED — paquete 10,Adjudicado,2024-12-07,2025-01-16,40,2,396948.13,352990.05,Proveedor H23,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00011,Gobierno Regional de Lima,Comparación de Precios,Bien,Bien para Lima — paquete 11,Adjudicado,2025-02-28,2025-04-04,35,3,187954.39,174520.76,Proveedor F17,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00012,EsSalud,Subasta Inversa Electrónica,Servicio,Servicio para EsSalud — paquete 12,Adjudicado,2023-12-01,2024-01-18,48,3,87820.72,85734.06,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00013,PRONIED,Adjudicación Simplificada,Bien,Bien para PRONIED — paquete 13,Desierto,2018-03-20,,,3,495612.43,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00014,Ministerio del Interior,Subasta Inversa Electrónica,Consultoría de Obra,Consultoría de Obra para Interior — paquete 14,Desierto,2021-05-03,,,4,81787.8,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00015,Ministerio de Salud,Adjudicación Simplificada,Servicio,Servicio para Salud — paquete 15,Cancelado,2024-06-08,,,2,586365.58,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00016,Ministerio de Salud,Concurso Público,Servicio,Servicio para Salud — paquete 16,Adjudicado,2022-03-22,2022-04-21,30,7,744384.19,714449.42,Proveedor L35,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00017,Municipalidad de Trujillo,Comparación de Precios,Bien,Bien para Trujillo — paquete 17,Adjudicado,2019-07-10,2019-09-11,63,6,112753.01,100475.31,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00018,SEDAPAL,Contratación Directa,Servicio,Servicio para SEDAPAL — paquete 18,Adjudicado,2023-06-12,2023-09-02,82,6,942138.08,929148.15,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00019,SEDAPAL,Adjudicación Simplificada,Bien,Bien para SEDAPAL — paquete 19,Adjudicado,2018-09-29,2018-11-10,42,6,431809.0,420560.57,Proveedor A1,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00020,Ministerio del Interior,Contratación Directa,Bien,Bien para Interior — paquete 20,En convocatoria,2023-07-30,,,4,791493.04,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00021,Gobierno Regional de Lima,Adjudicación Simplificada,Bien,Bien para Lima — paquete 21,Adjudicado,2018-02-22,2018-03-30,36,2,282546.77,236914.47,Proveedor G20,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00022,EsSalud,Contratación Directa,Obra,Obra para EsSalud — paquete 22,Adjudicado,2020-11-18,2020-12-16,28,5,436960.88,405693.93,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00023,Gobierno Regional de Lima,Concurso Público,Servicio,Servicio para Lima — paquete 23,Desierto,2020-05-05,,,2,918707.69,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00024,Municipalidad de Trujillo,Subasta Inversa Electrónica,Servicio,Servicio para Trujillo — paquete 24,Adjudicado,2025-07-07,2025-07-18,11,5,361323.41,325222.05,Proveedor A2,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00025,Gobierno Regional de Cusco,Contratación Directa,Servicio,Servicio para Cusco — paquete 25,En convocatoria,2023-10-25,,,5,590489.82,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00026,Municipalidad Provincial de Arequipa,Selección de Consultores Individuales,Servicio,Servicio para Arequipa — paquete 26,Adjudicado,2023-03-29,2023-04-23,25,3,129975.03,126847.19,Proveedor M37,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00027,PRONIED,Adjudicación Simplificada,Bien,Bien para PRONIED — paquete 27,Adjudicado,2021-12-11,2022-01-01,21,7,234239.47,213413.85,Proveedor F17,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00028,Gobierno Regional de Cusco,Subasta Inversa Electrónica,Bien,Bien para Cusco — paquete 28,Adjudicado,2020-04-17,2020-06-04,48,2,139486.99,120713.86,Proveedor J27,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00029,Municipalidad Provincial de Arequipa,Adjudicación Simplificada,Servicio,Servicio para Arequipa — paquete 29,Adjudicado,2024-10-26,2024-12-12,47,3,589498.34,534580.65,Proveedor L35,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00030,Municipalidad de Trujillo,Adjudicación Simplificada,Bien,Bien para Trujillo — paquete 30,Adjudicado,2025-07-26,2025-08-26,31,3,236498.72,229422.29,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00031,Ministerio de Educación,Licitación Pública,Servicio,Servicio para Educación — paquete 31,Adjudicado,2019-09-27,2019-10-19,22,3,5387638.6,4578522.92,Proveedor K32,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00032,Gobierno Regional de Cusco,Subasta Inversa Electrónica,Servicio,Servicio para Cusco — paquete 32,Desierto,2019-12-15,,,0,220697.01,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00033,Municipalidad Provincial de Arequipa,Licitación Pública,Servicio,Servicio para Arequipa — paquete 33,Adjudicado,2020-07-09,2020-08-08,30,2,2812093.77,2587131.77,Proveedor D11,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00034,Gobierno Regional de Cusco,Contratación Directa,Servicio,Servicio para Cusco — paquete 34,Adjudicado,2021-10-24,2021-12-29,66,3,328283.84,306901.64,Proveedor C8,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00035,Ministerio de Educación,Adjudicación Simplificada,Bien,Bien para Educación — paquete 35,Cancelado,2020-01-24,,,6,588932.26,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00036,Gobierno Regional de Cusco,Concurso Público,Obra,Obra para Cusco — paquete 36,Adjudicado,2021-03-26,2021-04-16,21,4,2473327.99,2141521.2,Proveedor C7,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00037,Ministerio de Educación,Adjudicación Simplificada,Bien,Bien para Educación — paquete 37,Adjudicado,2025-10-27,2025-12-14,48,7,583813.74,481580.04,Proveedor S54,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00038,EsSalud,Comparación de Precios,Bien,Bien para EsSalud — paquete 38,Adjudicado,2020-12-10,2021-01-30,51,4,100768.19,96097.67,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00039,EsSalud,Licitación Pública,Bien,Bien para EsSalud — paquete 39,Adjudicado,2025-07-10,2025-08-04,25,3,4834282.21,4182233.0,Proveedor A1,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00040,Gobierno Regional de Cusco,Adjudicación Simplificada,Servicio,Servicio para Cusco — paquete 40,Adjudicado,2022-01-08,2022-02-05,28,3,408279.58,349833.78,Proveedor B5,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00041,EsSalud,Licitación Pública,Bien,Bien para EsSalud — paquete 41,Desierto,2020-09-21,,,1,1516146.31,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00042,Ministerio del Interior,Adjudicación Simplificada,Bien,Bien para Interior — paquete 42,Adjudicado,2025-06-25,2025-08-07,43,1,396560.32,367005.23,Proveedor B5,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00043,Ministerio de Educación,Adjudicación Simplificada,Bien,Bien para Educación — paquete 43,Cancelado,2021-06-27,,,2,267326.47,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00044,Municipalidad Provincial de Arequipa,Adjudicación Simplificada,Bien,Bien para Arequipa — paquete 44,En convocatoria,2024-03-09,,,1,138521.43,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00045,Gobierno Regional de Cusco,Adjudicación Simplificada,Bien,Bien para Cusco — paquete 45,Cancelado,2020-07-06,,,5,502623.71,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00046,Ministerio de Salud,Adjudicación Simplificada,Servicio,Servicio para Salud — paquete 46,Adjudicado,2025-12-27,2026-01-11,15,2,200151.71,174232.53,Proveedor F17,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00047,Municipalidad de Trujillo,Comparación de Precios,Servicio,Servicio para Trujillo — paquete 47,En convocatoria,2023-12-20,,,5,112185.41,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00048,PRONIED,Subasta Inversa Electrónica,Bien,Bien para PRONIED — paquete 48,Adjudicado,2025-01-06,2025-02-08,33,3,338510.81,305729.21,Proveedor K30,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00049,Ministerio de Educación,Contratación Directa,Bien,Bien para Educación — paquete 49,Adjudicado,2018-04-27,2018-06-07,41,2,984138.3,917785.77,Proveedor F15,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00050,PRONIED,Contratación Directa,Servicio,Servicio para PRONIED — paquete 0,Adjudicado,2018-11-10,2018-12-24,44,4,346358.96,340449.17,Proveedor L33,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00051,Gobierno Regional de Cusco,Contratación Directa,Bien,Bien para Cusco — paquete 1,Desierto,2018-07-16,,,3,557568.68,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00052,EsSalud,Adjudicación Simplificada,Servicio,Servicio para EsSalud — paquete 2,Adjudicado,2022-04-02,2022-05-31,59,4,156727.89,139304.23,Proveedor A2,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00053,Ministerio del Interior,Adjudicación Simplificada,Bien,Bien para Interior — paquete 3,Desierto,2021-03-25,,,5,337088.28,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00054,Municipalidad de Trujillo,Contratación Directa,Servicio,Servicio para Trujillo — paquete 4,Nulo,2025-10-29,,,3,685181.17,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00055,PRONIED,Subasta Inversa Electrónica,Bien,Bien para PRONIED — paquete 5,Adjudicado,2019-12-17,2020-01-23,37,4,286608.52,254471.49,Proveedor J27,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00056,Gobierno Regional de Cusco,Concurso Público,Servicio,Servicio para Cusco — paquete 6,En convocatoria,2019-05-09,,,2,1448529.68,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00057,Gobierno Regional de Lima,Comparación de Precios,Consultoría de Obra,Consultoría de Obra para Lima — paquete 7,Nulo,2024-10-04,,,3,128950.83,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00058,Ministerio de Educación,Adjudicación Simplificada,Obra,Obra para Educación — paquete 8,Adjudicado,2020-06-01,2020-07-05,34,4,382134.43,359762.29,Proveedor I24,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00059,PRONIED,Adjudicación Simplificada,Bien,Bien para PRONIED — paquete 9,Desierto,2023-12-07,,,2,180486.13,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00060,Ministerio del Interior,Comparación de Precios,Bien,Bien para Interior — paquete 10,Desierto,2020-04-25,,,4,39235.59,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00061,Municipalidad de Trujillo,Selección de Consultores Individuales,Servicio,Servicio para Trujillo — paquete 11,Adjudicado,2022-05-13,2022-06-19,37,3,28106.56,23439.91,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00062,Ministerio del Interior,Adjudicación Simplificada,Obra,Obra para Interior — paquete 12,Adjudicado,2018-08-26,2018-09-27,32,3,314019.73,286720.79,Proveedor O43,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00063,Gobierno Regional de Lima,Adjudicación Simplificada,Consultoría de Obra,Consultoría de Obra para Lima — paquete 13,Desierto,2023-04-16,,,2,194165.09,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00064,PRONIED,Licitación Pública,Bien,Bien para PRONIED — paquete 14,Adjudicado,2025-04-28,2025-05-05,7,2,5445874.04,4547123.31,Proveedor H23,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00065,Ministerio de Salud,Adjudicación Simplificada,Servicio,Servicio para Salud — paquete 15,En convocatoria,2023-07-15,,,3,330346.59,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00066,PRONIED,Adjudicación Simplificada,Bien,Bien para PRONIED — paquete 16,Cancelado,2025-01-10,,,2,157617.49,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00067,Gobierno Regional de Lima,Selección de Consultores Individuales,Servicio,Servicio para Lima — paquete 17,Adjudicado,2024-03-30,2024-05-22,53,4,133582.65,131576.46,Proveedor L35,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00068,Ministerio de Salud,Subasta Inversa Electrónica,Servicio,Servicio para Salud — paquete 18,Desierto,2022-07-14,,,2,236660.9,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00069,Ministerio del Interior,Licitación Pública,Bien,Bien para Interior — paquete 19,Desierto,2025-06-01,,,2,1997201.85,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00070,EsSalud,Adjudicación Simplificada,Bien,Bien para EsSalud — paquete 20,Adjudicado,2021-10-31,2021-11-11,11,1,317437.12,267983.39,Proveedor A2,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00071,SEDAPAL,Adjudicación Simplificada,Servicio,Servicio para SEDAPAL — paquete 21,Adjudicado,2019-03-14,2019-03-28,14,3,367431.09,302298.78,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00072,Ministerio de Salud,Subasta Inversa Electrónica,Obra,Obra para Salud — paquete 22,Desierto,2022-06-11,,,4,255351.45,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00073,Ministerio del Interior,Contratación Directa,Bien,Bien para Interior — paquete 23,Adjudicado,2023-01-03,2023-02-04,32,5,1049402.13,1046309.15,Proveedor F16,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00074,Municipalidad de Trujillo,Comparación de Precios,Servicio,Servicio para Trujillo — paquete 24,Cancelado,2019-05-30,,,2,128418.87,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00075,Ministerio de Educación,Contratación Directa,Obra,Obra para Educación — paquete 25,En convocatoria,2019-02-24,,,3,790241.21,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00076,SEDAPAL,Adjudicación Simplificada,Bien,Bien para SEDAPAL — paquete 26,Adjudicado,2023-04-22,2023-06-03,42,3,574791.76,564413.95,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00077,Municipalidad de Trujillo,Concurso Público,Servicio,Servicio para Trujillo — paquete 27,Adjudicado,2021-07-17,2021-08-06,20,3,1702084.15,1674117.54,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00078,Ministerio de Educación,Comparación de Precios,Servicio,Servicio para Educación — paquete 28,Cancelado,2021-11-06,,,5,102927.57,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00079,Ministerio de Educación,Contratación Directa,Servicio,Servicio para Educación — paquete 29,Desierto,2024-04-14,,,2,595258.05,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00080,Ministerio del Interior,Subasta Inversa Electrónica,Obra,Obra para Interior — paquete 30,Adjudicado,2023-06-25,2023-07-25,30,6,257975.05,216973.09,Proveedor J27,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00081,Municipalidad Provincial de Arequipa,Adjudicación Simplificada,Bien,Bien para Arequipa — paquete 31,Adjudicado,2025-02-25,2025-03-04,7,3,261534.98,241356.6,Proveedor E14,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00082,Municipalidad de Trujillo,Adjudicación Simplificada,Obra,Obra para Trujillo — paquete 32,Cancelado,2019-05-04,,,1,544879.14,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00083,PRONIED,Adjudicación Simplificada,Bien,Bien para PRONIED — paquete 33,Desierto,2024-01-26,,,3,181429.34,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00084,Gobierno Regional de Lima,Adjudicación Simplificada,Bien,Bien para Lima — paquete 34,Adjudicado,2022-04-28,2022-05-28,30,1,256710.19,238874.47,Proveedor G18,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00085,Ministerio del Interior,Adjudicación Simplificada,Obra,Obra para Interior — paquete 35,Cancelado,2018-04-14,,,2,399396.49,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00086,Ministerio de Educación,Contratación Directa,Obra,Obra para Educación — paquete 36,Adjudicado,2018-07-25,2018-09-09,46,3,751871.51,692078.98,Proveedor J27,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00087,SEDAPAL,Contratación Directa,Bien,Bien para SEDAPAL — paquete 37,Adjudicado,2020-11-15,2020-11-22,7,4,874547.82,823909.09,Proveedor A1,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00088,Municipalidad de Trujillo,Subasta Inversa Electrónica,Consultoría de Obra,Consultoría de Obra para Trujillo — paquete 38,Adjudicado,2023-02-12,2023-03-15,31,2,82636.96,70727.22,Proveedor A1,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00089,Ministerio de Educación,Subasta Inversa Electrónica,Obra,Obra para Educación — paquete 39,Adjudicado,2019-04-22,2019-04-29,7,1,159071.69,146902.03,Proveedor D11,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00090,Ministerio del Interior,Adjudicación Simplificada,Obra,Obra para Interior — paquete 40,Desierto,2022-05-10,,,4,286318.92,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00091,Gobierno Regional de Cusco,Subasta Inversa Electrónica,Bien,Bien para Cusco — paquete 41,Adjudicado,2025-12-26,2026-02-08,44,4,209522.62,194607.29,Proveedor J27,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00092,Municipalidad de Trujillo,Concurso Público,Servicio,Servicio para Trujillo — paquete 42,Cancelado,2019-02-21,,,1,1899465.27,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00093,Municipalidad Provincial de Arequipa,Adjudicación Simplificada,Bien,Bien para Arequipa — paquete 43,Adjudicado,2019-02-25,2019-04-24,58,4,446423.06,398150.2,Proveedor F15,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00094,Ministerio de Educación,Subasta Inversa Electrónica,Bien,Bien para Educación — paquete 44,Adjudicado,2025-09-22,2025-10-08,16,6,138820.6,137232.67,Proveedor R52,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00095,PRONIED,Adjudicación Simplificada,Consultoría de Obra,Consultoría de Obra para PRONIED — paquete 45,Adjudicado,2019-12-15,2020-01-22,38,2,433229.75,416572.97,Proveedor F15,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00096,EsSalud,Adjudicación Simplificada,Bien,Bien para EsSalud — paquete 46,Desierto,2024-12-28,,,2,432793.08,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00097,Gobierno Regional de Lima,Comparación de Precios,Servicio,Servicio para Lima — paquete 47,Adjudicado,2020-11-09,2020-11-17,8,5,195917.28,192221.17,Proveedor F17,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00098,PRONIED,Adjudicación Simplificada,Bien,Bien para PRONIED — paquete 48,Adjudicado,2024-01-18,2024-02-01,14,3,165322.04,149958.11,Proveedor G18,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00099,Gobierno Regional de Lima,Adjudicación Simplificada,Servicio,Servicio para Lima — paquete 49,Desierto,2018-06-27,,,0,488879.13,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00100,Ministerio del Interior,Contratación Directa,Servicio,Servicio para Interior — paquete 0,Adjudicado,2023-01-22,2023-03-15,52,4,1038131.64,856917.38,Proveedor S55,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00101,SEDAPAL,Adjudicación Simplificada,Servicio,Servicio para SEDAPAL — paquete 1,Adjudicado,2024-12-16,2025-02-05,51,4,201678.84,190821.78,Proveedor A1,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00102,EsSalud,Contratación Directa,Bien,Bien para EsSalud — paquete 2,Adjudicado,2020-09-14,2020-10-24,40,2,1118682.02,1023909.59,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00103,EsSalud,Adjudicación Simplificada,Servicio,Servicio para EsSalud — paquete 3,Adjudicado,2023-02-02,2023-04-20,77,3,174438.7,143943.48,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00104,EsSalud,Subasta Inversa Electrónica,Bien,Bien para EsSalud — paquete 4,Adjudicado,2019-09-20,2019-11-17,58,1,257318.44,233724.21,Proveedor A1,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00105,PRONIED,Licitación Pública,Bien,Bien para PRONIED — paquete 5,Desierto,2019-04-12,,,1,2460167.18,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00106,PRONIED,Comparación de Precios,Bien,Bien para PRONIED — paquete 6,Adjudicado,2018-01-02,2018-02-21,50,4,151325.43,125748.8,Proveedor E14,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00107,Ministerio de Educación,Concurso Público,Servicio,Servicio para Educación — paquete 7,Adjudicado,2021-12-25,2022-01-04,10,4,2533890.21,2288402.3,Proveedor B5,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00108,Ministerio del Interior,Subasta Inversa Electrónica,Servicio,Servicio para Interior — paquete 8,Adjudicado,2022-03-03,2022-04-04,32,2,131551.55,128806.07,Proveedor F17,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00109,Gobierno Regional de Cusco,Adjudicación Simplificada,Bien,Bien para Cusco — paquete 9,Desierto,2018-08-18,,,1,290896.0,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00110,Gobierno Regional de Lima,Contratación Directa,Servicio,Servicio para Lima — paquete 10,Adjudicado,2019-10-28,2019-12-17,50,3,748345.86,631602.44,Proveedor H21,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00111,Ministerio del Interior,Subasta Inversa Electrónica,Bien,Bien para Interior — paquete 11,Adjudicado,2022-11-20,2023-01-01,42,2,154782.4,149702.94,Proveedor K30,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00112,PRONIED,Adjudicación Simplificada,Bien,Bien para PRONIED — paquete 12,Desierto,2020-11-29,,,3,380241.94,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00113,Municipalidad Provincial de Arequipa,Concurso Público,Consultoría de Obra,Consultoría de Obra para Arequipa — paquete 13,Adjudicado,2019-11-08,2019-11-21,13,6,1452077.22,1230391.33,Proveedor I24,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00114,Ministerio del Interior,Contratación Directa,Bien,Bien para Interior — paquete 14,En convocatoria,2018-01-19,,,2,697866.96,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00115,Ministerio del Interior,Contratación Directa,Bien,Bien para Interior — paquete 15,Cancelado,2018-04-23,,,4,527475.09,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2022-00116,PRONIED,Adjudicación Simplificada,Servicio,Servicio para PRONIED — paquete 16,Cancelado,2023-02-06,,,4,400906.15,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2023-00117,SEDAPAL,Concurso Público,Bien,Bien para SEDAPAL — paquete 17,Adjudicado,2018-12-03,2019-02-06,65,6,2952729.08,2584915.38,Proveedor A0,MUESTRA SINTÉTICA (no es dato real)
PROC-2024-00118,PRONIED,Adjudicación Simplificada,Obra,Obra para PRONIED — paquete 18,Nulo,2024-10-03,,,4,412638.55,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2025-00119,EsSalud,Licitación Pública,Servicio,Servicio para EsSalud — paquete 19,En convocatoria,2022-06-10,,,6,1084220.75,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2018-00120,Municipalidad Provincial de Arequipa,Adjudicación Simplificada,Servicio,Servicio para Arequipa — paquete 20,Adjudicado,2020-01-05,2020-02-06,32,1,279311.34,252042.76,Proveedor O44,MUESTRA SINTÉTICA (no es dato real)
PROC-2019-00121,Municipalidad de Trujillo,Adjudicación Simplificada,Servicio,Servicio para Trujillo — paquete 21,Desierto,2023-02-03,,,2,467531.99,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2020-00122,EsSalud,Contratación Directa,Bien,Bien para EsSalud — paquete 22,Nulo,2019-04-16,,,4,733522.82,0.0,,MUESTRA SINTÉTICA (no es dato real)
PROC-2021-00123,PRONIED,Contratación Directa,Servicio,Servicio para PRONIED — paquete 23,Adjudicado,2020-08-06,2020-09-10,35,4,1064949.33,936364.09,Proveedor F16,MUESTRA SINTÉTICA (no es dato real)
